persistent_album_id;music_store_key;url;score;format;price
6E459D2047B2E3D3DA047884AC09EFED;MEDIMOPS;https://medimops.de//pj-harvey-john-parish-dance-hall-at-louse-point-audio-cd-M0B000001E9Y.html;67;cd;5.59
4D414F32AD6E4B65D344738D5C0B492E;MEDIMOPS;https://medimops.de//helmet-meantime-audio-cd-M0B000001Y5F.html;82;cd;10.79
16003026E18A916A6AC0876DDCB6931A;MEDIMOPS;https://medimops.de//iced-earth-something-wicked-this-way-comes-audio-cd-M0B000024B20.html;94;cd;9.49
D72DE3C76E03BC258460DE57F03C9C97;MEDIMOPS;https://medimops.de//ida-maria-fortress-round-my-heart-audio-cd-M0B001OBBR88.html;92;cd;0
E5BD08AF5CC98AE76C4FFA3E2B69CCCB;MEDIMOPS;https://medimops.de//chris-isaak-silvertone-audio-cd-M0B000002L6O.html;84;cd;5.49
A2D055B9632D828D5C934708E7C7CA6E;MEDIMOPS;https://medimops.de//king-crimson-in-the-court-of-the-crimson-king-original-master-edition-audio-cd-M0B00065MDRW.html;94;cd;0
58DBC4C79522B22EEAACF498FB8F7789;MEDIMOPS;https://medimops.de//kiss-dynasty-audio-cd-M0B000001ELL.html;80;cd;7.49
B27343B7B8FA1D75507DA5F91D427611;MEDIMOPS;https://medimops.de//lana-del-rey-born-to-die-audio-cd-M0B0064IP0SE.html;85;cd;3.45
91C737F51859163807DBC96965746083;MEDIMOPS;https://medimops.de//living-colour-the-chair-in-the-doorway-audio-cd-M0B002GSXJKC.html;92;cd;0
0156904FF1AE4AC312495BAA01FF2FAE;MEDIMOPS;https://medimops.de//low-i-could-live-in-hope-audio-cd-M0B000000A3K.html;91;cd;0
575EBA3A86D118E011C4133605136A50;MEDIMOPS;https://medimops.de//madrugada-grit-audio-cd-M0B00006LSSO.html;74;cd;16.59
855CF5DFD98A36E29E381790C9431FD9;MEDIMOPS;https://medimops.de//mastodon-hushed-and-grim-audio-cd-M0B09FMNY56D.html;88;cd;10.59
74C7C4C863B6885A43EB162F4D89F001;MEDIMOPS;https://medimops.de//mastodon-emperor-of-sand-audio-cd-M0B01N6V8SZC.html;88;cd;0
093A08EDE18A0B5ACDC3B5DB56F44650;MEDIMOPS;https://medimops.de//megadeth-endgame-audio-cd-M0B002C6K7N0.html;80;cd;10.49
1F9F87CA8CEA10897EF8B212839E6881;MEDIMOPS;https://medimops.de//meshuggah-obzen-15th-anniversary-remastered-edition-audio-cd-M0B0BT13XBZ9.html;76;cd;0
ED1EC9402F6D46B06D1F1D981F12064F;MEDIMOPS;https://medimops.de//metallica-72-seasons-audio-cd-M0B0BNJNS3FH.html;84;cd;24.99
B3AE91A1AC57E9BBDFA2B374010C4E11;MEDIMOPS;https://medimops.de//metric-metric-art-of-doubt-audio-cd-M0B07FT8D11T.html;79;cd;0
541267D16A4037FBE1800126C208F48F;MEDIMOPS;https://medimops.de//moby-everything-is-wrong-audio-cd-M0B000024HFF.html;90;cd;5.49
46699BA90C9819EA2C53C17E6F4CBCD2;MEDIMOPS;https://medimops.de//muse-will-of-the-people-audio-cd-M0B09VTVK4JY.html;90;cd;0
346137AF59153913ACF9C9CC6B54E3AC;MEDIMOPS;https://medimops.de//my-dying-bride-turn-loose-the-swans-audio-cd-M0B000056Q1T.html;91;cd;10.49
41E7CDC7D089AFF534E79712757C2A75;MEDIMOPS;https://medimops.de//nine-inch-nails-hesitation-marks-audio-cd-M0B00D8HNR2K.html;89;cd;13.95
A54672980F3B07BC8F6D8FCF3E3782F5;MEDIMOPS;https://medimops.de//opeth-deliverance-audio-cd-M0B000FGGETU.html;85;cd;8.49
BE36C8413458806001EBC45C9EC588BA;MEDIMOPS;https://medimops.de//opeth-still-life-audio-cd-M0B000050IE6.html;84;cd;12.59
44AED746165C46F1864C8C478CFD5658;MEDIMOPS;https://medimops.de//opeth-orchid-audio-cd-M0B00009W8N2.html;79;cd;38.47
75ACBA8F88CE0A8B60783F17DAFEA26F;MEDIMOPS;https://medimops.de//o-s-i-free-spec-ed-audio-cd-M0B000F0UZZK.html;49;cd;12.79
B1FB23BEBFF686F8C285C9B8890019BF;MEDIMOPS;https://medimops.de//o-s-i-blood-audio-cd-M0B001TKK3DO.html;60;cd;27.49
