tiermaker_id;album_persistent_id;order;tier
1;30B4513FABCE4E4FB90335001A77CAD5;0;pool
1;ADDF9D4D261EA0DF54CE7BE04383709F;1;pool
1;472608E6F7CC209BEFD8C147DA5E9153;2;pool
1;3854641065DCCCB91480D853C70F3121;3;pool
1;C9C4566D7319A7D836314F32147EEE9A;4;pool
1;A79A3058685B884E6616AB1119E78F2D;5;pool
1;64E66DDFDE3CA21F43AE231602E6D8D6;6;pool
1;14AB429195D8E011D018A2D98AF92BFB;7;pool
1;085540E2BFE33AC4AC93F35EB99D3D9F;8;pool
1;6C9EDB4019593059171A6730C769529A;9;pool
1;C41F5E6A40624F52B1B126FFE851A235;10;pool
1;63C4E3ADCE8B78AB5EE11745FAE88B99;11;pool
1;786AFA15729B45ED17D5CCB0CB14BB37;12;pool
1;97A51B92F285F279E2C53F624264B9CD;13;pool
1;20096DCD005AD1F3FA395FDD3B2CA660;14;pool
1;F815572EA3DE8B24E2834DD98A301E73;15;pool
1;98490DEA7EC761B8EA4D07CC378B2F5F;16;pool
1;75BF461B774CBEF4D57A37C40DE3AD14;17;pool
1;DE44062285722A273AA7F9718C98BA13;18;pool
1;BE70B7D8B2E8608C497AD707E24D13EE;19;pool
1;9202E85A904A72D326274145EAEFC2A0;0;S
1;9F526EE40358FB9B5615C60C6645C936;1;S
1;4A43A43A721D73AB90452BFD8394927A;0;A
1;9D69BE4A897B6DDAAAF4017CC82D2E7F;1;A
1;E7CED5BA49927A295F9E40B218D5BA7D;2;A
1;8332D2E22F336C452AB8C16AFEA0B28B;3;A
1;8BF9D28E9495FB5603F8A8003F0F5198;0;B
1;30F089CE746925CC297F9759E0EE390D;1;B
1;80B8BDAF76635B1CEB5EB64F82C40BC9;2;B
1;C5F72B2F6063F1090A4CB1C55EA236E8;3;B
1;040A5F215CC40A5932490400656A557A;4;B
1;258E756489363CD8E4F4FCE00D256304;0;C
1;97C91A2C8C9FE804355AE1C6D86C250C;1;C
1;8A459CC8CA415B185F285AB95814DCBC;2;C
1;3CFB18F3B7D965EA9B8E7FF6C67F089F;0;D
1;AE5891956436845793DAE6F5D9F13488;1;D
2;2A7E8326B5888B18891C1D82CAEA193A;0;pool
2;EE09C1BDECC05C63B916D7ABAAEC6E0D;1;pool
2;9A7968CEED8C83E0B87C1E2B53D1276C;2;pool
2;11F225A2BB2F60E3275BFB9B95E5C788;3;pool
2;5892E7626D1235DE5AA6B77D033DE607;4;pool
2;D3C254EF1EC7EC8ECAB1699496582DD8;5;pool
2;444D68E82238D6F25D87DC66DB8170FE;6;pool
2;28E91B415DF14C302F66BEF26731D93F;7;pool
2;03ADA1DBF87A864206D64E9CC9AFC103;8;pool
2;A7F24C61C8F39D3A605F5851053AA1D2;9;pool
2;4577C9B0004F3763827C9D3CFD6D3B0D;10;pool
2;3D82554516131AE8F42A6B12E3B35816;11;pool
