persistent_id;spotify_api_track_custom_id;artist;album;name
A9009F28861C33A9;43N4WcIj2OA3ZYaHvGu1LD;"Anneke van Giersbergen";Air;"Come Wander With Me"
2CA07F477FD46891;11NOtowbIoHWpHs5MkLk8h;"Anneke van Giersbergen";Air;"Sunken Soldiers Ball"
FCCE243431D00327;6XH819aKgBig7MwepSWVng;"Anneke van Giersbergen";Air;"Lost And Found"
2A63D59E52F318B0;1l9cVLHwQWcUnTSx4QiCH6;"Anneke van Giersbergen";Air;Asleep
ABE5E15DF5B7DABE;5ffrVFdaRng4hg5GfNyOXz;"Anneke van Giersbergen";"In Your Room";Pearly
EF366D88E094AC21;5nrTbWrRmC3xuJ95aEDUKS;"Anneke van Giersbergen";"In Your Room";"Hey Okay!"
7047747490BED68D;2cLl65J2pe0YvmCh6sNNy8;"Anneke van Giersbergen";"In Your Room";"I Want"
176FF6EE9FA9860B;2AkXzEzCKK3Mk4TjQjzw23;"Anneke van Giersbergen";"In Your Room";Wonder
1742CF010F3FD962;3Ffas63BKLAKtz7wFw6Wpv;"Anneke van Giersbergen";"In Your Room";"The World"
D942D63E782B4F26;72W4wdZKd7NA0gjVgpnI1y;"Anneke van Giersbergen";"In Your Room";"Sunny Side Up"
35BB44C8CE5A0E8D;7GmArFwN1yh3M3kxniA4cD;"Anneke van Giersbergen";"In Your Room";Physical
D1302A98C6B97E69;4aQsPsT227DMtJzL3kplHK;"Anneke van Giersbergen";"In Your Room";"Home Again"
07013059AA06D682;1GlFqEtnDgC14NR4kAZ9OQ;"Anneke van Giersbergen";"In Your Room";"Wide Open"
96A572EBB101864F;4vt4glXGqSi4csHkTOO50y;"Anneke van Giersbergen";"In Your Room";"Longest Day"
61204081B1C6BF28;2CKRMlMGF5z8Y2fXZ8nsmc;"Anneke van Giersbergen";"In Your Room";"Just Fine"
F56154DF57DADA50;2X4hPd0s9xF5CFr52nwPDz;"Anneke van Giersbergen";"In Your Room";Adore
41408C41A8C69712;7dMZqTSXKZJj33P1sFTG9P;"Alice In Chains";"Music Bank";"Iron Gland"
E66B4BAE5C4CCD00;1vUQ9c2G2YsZU7dYhAKMhf;"Alice In Chains";Unplugged;"Brother - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
A2E496F8D3F349E8;1DfOxEiYPhQlN2D1arscnN;"Alice In Chains";Unplugged;"No Excuses - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
1EC988FECC167643;1HUcU3GAKCR960czpLbqoD;"Alice In Chains";Unplugged;"Sludge Factory - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
4D01057065F655A0;2yBAPa9HZj3P2szSaaj4k1;"Alice In Chains";Unplugged;"Down In A Hole - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
72AE708279BE2D54;4Oc0UJYBAfBHiiBxQpXPH6;"Alice In Chains";Unplugged;"Angry Chair - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
E4E94D0958A25D8C;3wLCckFOrzdtH0azPbvuny;"Alice In Chains";Unplugged;"Rooster - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
06FB4480750A391A;4uc4dKehCiytR5NLTSGJXu;"Alice In Chains";Unplugged;"Got Me Wrong - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
78A6D4B620D5EA56;6t6L6kLosuIY7Wl9cHnYpS;"Alice In Chains";Unplugged;"Heaven Beside You - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
A7300C73EF798919;7etojJg0JsetC3fSVpU3tX;"Alice In Chains";Unplugged;"Would? - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
2FA9E84A8DF81BC3;5VnZbUFXpx07Ab8NWJKuMj;"Alice In Chains";Unplugged;"Frogs - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
40AD6030BAFC1FAC;7JGsjryRB00XsebAyy4Hy7;"Alice In Chains";Unplugged;"Over Now - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
5A9665EB8D6F7D0E;4oiyEvPaocr27oAAp0cBai;"Alice In Chains";Unplugged;"The Killer Is Me - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
A591D6A174ECD0AD;6VXYPwdKviJaAP4Rh6JW9u;Amenra;"Mass VI (EU version)";"Plus Près De Toi"
6FC58EC2ED7A2BA9;23XtNOaLoZKhhKZe6Vz5Y8;"Tori Amos";"Little Earthquakes (2015 Remaster)";"Crucify - 2015 Remaster"
3C42CFEB06666F44;60J421Rq8u1HbUf8r2629k;"Tori Amos";"Gold Dust";Winter
BC6EDC8AD5EDD0C1;67ssZKyUXPe5rBMEmV7l0R;"Tori Amos";"Little Earthquakes (2015 Remaster)";"Girl - 2015 Remaster"
E5A8E11169B6B0ED;4QvqAIlj9LDqIYAWOTnGYO;"Ryan Adams";29;29
66CBBF30D73AE9CB;3EFjHuHPIuag5mkP2IpEnr;"Ryan Adams & The Cardinals";"Jacksonville City Nights";Pa
2392AC7352E1E5FF;4A065x9kJt955eGVqf813g;"Alice In Chains";"Dirt (2022 Remaster)";"Them Bones (2022 Remaster)"
A5B0AA9D558FB6E5;22Ntyke0ZDZy2Uuf8BEDkU;"Alice In Chains";"Dirt (2022 Remaster)";"Dam That River (2022 Remaster)"
56DD7E21DA17ED9D;6a9SPVrXyrlVh5Fh08f8Bz;"Alice In Chains";"Dirt (2022 Remaster)";"Rain When I Die (2022 Remaster)"
E8B69B448585BCE6;5EnYdTx0BWhWM5YDcPkGAa;"Alice In Chains";"Dirt (2022 Remaster)";"Sickman (2022 Remaster)"
28441B42C819B433;0wvIGFIgbyz4JNwQhZgTv2;"Alice In Chains";"Dirt (2022 Remaster)";"Rooster (2022 Remaster)"
693123C812F2094C;0bX3cB5ybgOA7dTg4Vvv88;Queen;"Greatest Hits II (2011 Remaster)";"Under Pressure - Remastered 2011"
F415B6037CDCA964;11IzgLRXV7Cgek3tEgGgjw;Queen;"Hot Space (Deluxe Remastered Version)";"Under Pressure - Remastered 2011"
BC140372C912FC5E;11IzgLRXV7Cgek3tEgGgjw;Queen;"Hot Space (Deluxe Remastered Version)";"Under Pressure - Remastered 2011"
063075ED73923FE1;7JLqofLzcpdjFHc6oRSBGf;AC/DC;"Live at River Plate";"Back In Black - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009"
A8A4D685725CD298;6bZQwL1KmpE3y4TH3jIVgr;AC/DC;"Live at River Plate";"Whole Lotta Rosie - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009"
B23D5B762608D418;2q0FeOVtIivDv9WWzvPH6J;AC/DC;"Live at River Plate";"Let There Be Rock - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009"
6339187FA5670972;3Mm8BNfpSlFhP6XxPDeVAN;"Ryan Adams";"This Is It";"Twice As Bad As Love"
E14690186E27DFBB;7xgBd45RS3GhRXFUPPFcNk;"Ryan Adams";"Live at Carnegie Hall (Deluxe)";"Why Do They Leave (Live at Carnegie Hall; November 15, 2014)"
1E8F7A4B291F47E3;48SIlYmFarxizli86dVpzB;"Floor Jansen";"Decipher: The Album (expanded)";"Monolith Of Doubt"
D29850F903869FB7;6Lg2aWDOzfeCRbmqyelUIM;"Floor Jansen";"Invisible Circles: The Album (expanded)";"Childhood In Minor"
03E1B389FC0ABF0D;4ebA9FXWz5ek2z7iYLBO84;"Floor Jansen";"Invisible Circles: The Album (expanded)";"Beautiful Emptiness"
B9AD7F24902AFB79;43E689AJKxTS1KrysOco42;"Floor Jansen";"Invisible Circles: The Album (expanded)";"Between Love And Fire"
CB4F03AF168966E1;2znR102zYzxAU7dBRKmyIm;"Floor Jansen";"Invisible Circles: The Album (expanded)";"Sins Of Idealism"
493622DACCA9490E;4WN32PkVFbVVG4a91AskbR;"Floor Jansen";"Invisible Circles: The Album (expanded)";"Through Square Eyes"
7E5CE26127EEE062;7CobqW6obHpUpbpwHxu97m;"Floor Jansen";"Invisible Circles: The Album (expanded)";"Victim Of Choices"
7E6737745ABD7A72;0L26jqOgHQhcaOHaAdne5p;"Floor Jansen";"Decipher: The Album (expanded)";"Ex Cathedra"
D160EF5B44161F15;15IiJ7kHtLfEnSM29swlZl;"Floor Jansen";"Decipher: The Album (expanded)";"My Pledge Of Allegiance #1"
04A5953F81A15B7A;0Z4Uz7alwZIP3jw7ABzNZz;"Floor Jansen";"Decipher: The Album (expanded)";Emphasis
4C80F55983B98679;2w6MiWNzbE1SACneB3T30C;"Floor Jansen";"Decipher: The Album (expanded)";Intrinsic
A8673932BB3DC16E;4MSiWy2Xj7n53zl6d2ceXK;"Floor Jansen";"Decipher: The Album (expanded)";Zenith
887CCDAA682A7B26;7B53AtbbHPxsnut8WQAF4Q;"Floor Jansen";"Decipher: The Album (expanded)";Estranged
FF0996100F0FFD48;6QQKiDv8hHWcDjTEwFc0um;"Floor Jansen";"Decipher: The Album (expanded)";"Imperfect Tenses"
123F6781630282BD;6MMjW8Mf66SHp5EgCaMLOg;"Floor Jansen";"Decipher: The Album (expanded)";"The Key"
D7754DB91E8B27E6;2QgQUK1mMQ0fbEXf4rm82a;"Floor Jansen";"Decipher: The Album (expanded)";"Forlorn Hope"
D9E8C0DA190D25C8;67RVShDY2vOooDph3Fh9BO;"Floor Jansen";"Remagine: The Album (expanded)";Enter
E4A07884AACAE560;01IiKvPyqJY1Mn3rlYJmpL;"Floor Jansen";"Remagine: The Album (expanded)";Come
2BC1C556F4178B12;4w0wH4wLcZseU6svkYjjdd;"Floor Jansen";"Remagine: The Album (expanded)";"Boundaries Are Open"
9425174AA31414D8;6D8frBYMRETDf5Nul6eLPQ;"Floor Jansen";"Remagine: The Album (expanded)";"Living Shields"
1EDDD46375117330;2HWLLeepV9McxJxmBQvlEk;"After Forever";"Prison Of Desire: The Album (expanded)";"Mea Culpa"
217E350346572ED3;5e7lvc1O66J05KqfeULRWn;"After Forever";"Prison Of Desire: The Album (expanded)";"Leaden Legacy"
023ACB751C360CCE;25XO4CEBq0FGPSjBMbLKuP;"After Forever";"Prison Of Desire: The Album (expanded)";"Follow In The Cry"
EBA79488A26080E1;2HDfFgUUv6PXo5Iyx34SHb;"After Forever";"Prison Of Desire: The Album (expanded)";"Yield To Temptation"
820A504A024ACE81;2g2QKGCpY9MqNpIRpeLSjn;"Sharon Den Adel";"Prison Of Desire: The Album (expanded)";"Beyond Me"
2C8BCD4C4A261B3A;3K1rddMzgokWIgUIfbsg3S;"Floor Jansen";"Decipher: The Album (expanded)";"My Pledge Of Allegiance #2"
E393C58F732186E0;1Ljy2WlNoFSt118PGSRecJ;"Floor Jansen";"Exordium: The Album-The Sessions";"Line of Thoughts"
D24068A4CB246368;12I1pAGoCH2yG92Dglm1VP;"Floor Jansen";"Exordium: The Album-The Sessions";Beneath
AD205918523CDACC;22TvfA6c6HT57jx2knk8Mh;"Floor Jansen";"Exordium: The Album-The Sessions";"My Choice"
28426D10D87FFC1A;5m6TkQr5biGwwDBMpWIfU4;"Floor Jansen";"Exordium: The Album-The Sessions";"Glorifying Means"
A8AACE1863BBFBF2;2IFeLq87D2vUe7wEMHmqjP;"Floor Jansen";"Exordium: The Album-The Sessions";"The Evil That Men Do"
490776B6A24D4A05;29YuYRUpUORNNrH6P3yqTu;"Floor Jansen";"Exordium: The Album-The Sessions";"One Day I'll Fly Away"
B2AD1E9F92590891;4nayjgf0NB7SUpCAcEIBTR;"Floor Jansen";"Invisible Circles: The Album (expanded)";Eccentric
98A4CB7EAFD0828A;54dcLGIYpSJyBN12fElAfZ;"Floor Jansen";"Invisible Circles: The Album (expanded)";"Digital Deceit"
F794506B0A053C65;7kB87QWhiUsI2MhexoXDyw;"Floor Jansen";"Invisible Circles: The Album (expanded)";"Blind Pain"
D84166800692F1E4;6jbVdhyBebJSllqHeF3V77;"Floor Jansen";"Invisible Circles: The Album (expanded)";"Two Sides"
74FC986DFD96FC67;5E2pLMELcMVKbFhc2SKkQt;"Floor Jansen";"Invisible Circles: The Album (expanded)";Reflections
2F54B27D2D8556EC;0Eml3pBbumQhsOdmyPgHzJ;"Floor Jansen";"Invisible Circles: The Album (expanded)";"Life's Vortex"
E3C38E38CF310216;2cNW53OVf0aomB91Q3rnPD;"Floor Jansen";"Remagine: The Album (expanded)";"Being Everyone"
DCDF05B62E7C3B18;46IV8UFS96QxQ3cj6blCeT;"Floor Jansen";"Remagine: The Album (expanded)";Attendance
F5977F3732D0F2BB;1H09jiRc84MH6zEsEORL0a;"Floor Jansen";"Remagine: The Album (expanded)";"Free Of Doubt"
68845D862C6A4817;3E530zq2R5pihYwtJsATCo;"Floor Jansen";"Remagine: The Album (expanded)";"Only Everything"
2B03DB318717D87A;7KdIEp6MmTlQqAdaNWHooD;"Floor Jansen";"Remagine: The Album (expanded)";Strong
7E2D6233D2F178DB;5KTrYlKKln75xDRn0pZES1;"Floor Jansen";"Remagine: The Album (expanded)";"Face Your Demons"
8F2B60A60D75AB72;2KSOXHVbp4a7HTNqsoo3Np;"Floor Jansen";"Remagine: The Album (expanded)";"No Control"
C886B42E45E687B5;07oSS7UQBSJLC79cm6bY25;"Floor Jansen";"Remagine: The Album (expanded)";Forever
BA7314CFE191F172;3amlvOgQbP2KsIZ8FySUgd;"Ryan Adams";"Rock N Roll";1974
346E1242C65929B8;3wInFSduoML0HlUgrVVmkG;"Ryan Adams";"Heartbreaker (Deluxe Edition)";"(Argument with David Rawlings Concerning Morrissey)"
FF8B550CE71F5828;02JfrcZVZ6DuND5llcThCk;"Ryan Adams";"Live at Carnegie Hall (Deluxe)";"Damn, Sam (I Love a Woman That Rains) (Live at Carnegie Hall; November 15, 2014)"
E884100AD214EC02;103zaXLTNfCpUjAIikByKz;Amorphis;Eclipse;"Same Flesh"
DFE2285CB14B5A96;2NkAIzIOZ33xbSGxHfSf7b;"Tori Amos";"Boys for Pele (Deluxe Edition)";"Muhammad My Friend - 2016 Remaster"
ACFF2462714629B4;2r5TlgiOsKdl1XROmIfJdj;Anathema;"Judgement (Remastered)";"Make it Right - Remastered"
F8CFE0AE6CDB134E;4mEHJhp1QxVoTPzq4ADr7j;Anathema;"Distant Satellites";"Dusk (Dark Is Descending)"
3540F04F72BF9AD5;75t0ZsWyPf1DBwBbPtRW73;"Angus & Julia Stone";"Memories of an Old Friend";"Heart Full of Wine"
E1DC3D73FCE58BDA;3PUtI9bf9pipaRJvgWNcpa;Anouk;Update;"Hail - Live From Denk Aan Henk,Netherlands/2003"
77169EC6B0B74274;5dpBAn9crBuM5FAGwRudBh;Anouk;"Anouk Is Alive";Alright
756910D5BD4AFF3B;6Jq4chLYWtMhy4cel1ZoAy;Anouk;"Lost Tracks";"Home Is My Head"
6BBB5C3B116F4243;79GPCoL0LtqdbBA950jsrc;Anouk;"Lost Tracks";Redemption
308B9CBB4A8090B8;1hKcuqXPha3xMrc5WSilbN;Anouk;"Lost Tracks";"I Alone - 2 Meter Sessie Version"
6955776FDFC2ABA7;0LGSO2q4dnnu7IWKher9oA;Anouk;"Lost Tracks";"It's So Hard"
