persistent_album_id;release_id;artist;title
BD6BD39CD17AFEE6B803833EC17A04C4;173267;"Die Krupps";"III - Odyssey Of The Mind"
E77CBFB906CD5E559E09C534E812A5D7;386866;"Dimmu Borgir";"Death Cult Armageddon"
D03F3423CC162F715957B8FA4706D1D0;1891201;"Dream Theater";"Instrumental II"
F60425546046DFA04F51B494281A8348;635267;Eboman;"Donuts With Buddah"
B7613AC89B19308543324F72F98EA86F;368178;Weezer;"Weezer (Blue Album)"
2512F249A86E90FEE130E261FE19B25E;3886465;"Dream Theater";"Majesty Demo"
1CDC56E1DD2F576BC612E52C606BC808;44977;"Various Artists";"Synthesizer Greatest"
5290BBE424CE5ADDDE4F77C2E9C7BF44;9870325;"Various Artists";"Synthesizer Greatest Volume 2"
E16048BA4F680A5D9BDE240BFDF33200;1798440;"Various Artists";"Synthesizer Greatest Volume 3"
A46DEF72E22BB1996E153C45EA6F56E6;14376301;"Various Artists";"Synthesizer Greatest Volume 4"
8F6647C1CF57F4C92622901C9F474E9A;1849077;"Various Artists";"Synthesizer Greatest Volume 5"
879FBDD4C48CEE86DF857D774BE66C1D;1807973;Eels;"Hombre Lobo"
752FF4B938E3D7ED3A1C61BEE4C53E48;9224344;"Heather Nova";"Spirit In You"
D4DBECBA89F76C048782CED163252EFF;1231041;"Heather Nova";Wonderlust
32B06DCF15BACA22C2CBC774ABC5A6FE;19524271;"Jean-Michel Jarre";"The Essential"
01F2264EED7849204B767A489C2ABF66;795164;"John Williams";"Star Wars Episode 1 - The Phantom Menace"
63F3897D36DD59B5E27E6AC59985E680;30549052;"Lisa Loeb";Tails
7C407ECD411497A19FB5C1548D52BB5F;1382831;"Living Colour";Biscuits
6CE2660DA7A0CD75CDA2BAE9D6B80525;610817;Madness;"It's... Madness Too"
2CC3759755894AF92C32AA02AEF61DE5;2534858;Metallica;"The $5.98 E.P. - Garage Days Re-Revisited"
8B5A8E88CB8C6E1514ABA2F05E8F6272;174927;"Nine Inch Nails";"The Perfect Drug"
808613B8CB00CD7A36D62A4D7BDAF62C;9519242;"Porcupine Tree";"Lightbulb Sun"
CB1C4B0EC0E0812573072E07B6C32875;4561248;"Daron Malakian And Scars On Broadway";"Scars On Broadway"
C89CCDDE83868CFC5DCFD71BE1571F54;690468;"Sparks vs. Faith No More";"This Town Ain't Big Enough For Both Of Us"
CA29875333224A20621C5E2B3905495E;34522984;Suede;Outsiders
FCADA0701F63AAD26C15AA948C4763BB;881184;Rush;"Different Stages"
B26E582C0C3D3FEB0D17C06E58C8DC80;6738795;Slayer;"Decade Of Aggression"
81CDBDE8FE6B42ED0022ED06852AA515;16317825;"Paradise Lost";"Draconian Times"
F2799CD1EF4516788AAC2C915D8F3411;15455932;Prince;"Purple Rain"
D9C2FA02A7F51EA82CAE1457DE96491C;10957012;"The Cure";"Staring At The Sea"
32FE908BE50AF636497AD649EA52379A;9471549;"Ryan Adams";"Cold Roses"
